                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.4298,                 1.2003,                  1.411,                 0.4927,                0.58234,                0.49534,                0.36524,                 0.9205,                 1.4516,                 1.2262,              0.0095446,              0.0095446,              0.0095446
                     48,                   1.43,                 1.1997,                 1.4104,                0.49205,                0.58265,                 0.4958,                0.36596,                0.92049,                 1.4495,                 1.2264,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.4303,                 1.2002,                 1.4111,                0.48923,                0.58294,                0.49643,                0.36634,                0.91994,                 1.4488,                 1.2267,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.4303,                 1.1993,                 1.4098,                0.49247,                0.57858,                0.49594,                0.36627,                0.91895,                 1.4479,                 1.2259,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.4299,                 1.1989,                 1.4088,                0.49097,                0.58234,                0.49455,                0.36475,                0.92041,                 1.4509,                 1.2263,               0.009505,               0.009505,               0.009505
                     52,                 1.4294,                 1.1998,                 1.4091,                0.49437,                 0.5779,                0.49446,                0.36455,                0.92194,                 1.4535,                 1.2265,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.4291,                 1.1991,                 1.4099,                0.49318,                0.57729,                0.49465,                0.36494,                0.92263,                 1.4513,                 1.2278,              0.0094852,              0.0094852,              0.0094852
                     54,                   1.43,                 1.1984,                 1.4113,                0.49794,                 0.5721,                0.49465,                0.36472,                0.92271,                 1.4543,                 1.2284,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.4303,                 1.1986,                 1.4122,                0.49524,                0.57616,                0.49357,                0.36422,                0.92366,                 1.4589,                 1.2293,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.4278,                 1.1971,                 1.4092,                0.49039,                0.58038,                0.49239,                0.36338,                0.92387,                 1.4629,                   1.23,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.4277,                 1.1975,                 1.4091,                0.49258,                0.57654,                0.49393,                0.36448,                0.92113,                 1.4595,                 1.2279,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.4281,                 1.1973,                 1.4085,                0.49226,                0.57865,                0.49406,                0.36425,                0.92147,                 1.4581,                  1.228,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.4289,                 1.1976,                 1.4073,                0.49481,                0.57534,                0.49544,                0.36597,                0.92059,                 1.4557,                 1.2267,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.4299,                 1.1972,                 1.4095,                0.49743,                0.57526,                0.49644,                0.36665,                0.91995,                 1.4551,                 1.2257,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.4287,                 1.1967,                 1.4086,                0.49159,                 0.5776,                0.49439,                0.36486,                0.92089,                 1.4592,                 1.2269,               0.009406,               0.009406,               0.009406
                     62,                 1.4272,                 1.1962,                 1.4082,                0.48904,                0.57893,                0.49427,                0.36469,                0.92079,                 1.4584,                 1.2268,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.4283,                 1.1961,                 1.4076,                0.49226,                0.57827,                0.49492,                0.36538,                0.92031,                 1.4585,                 1.2272,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.4267,                 1.1955,                 1.4057,                0.49132,                0.57895,                0.49625,                0.36648,                0.92051,                  1.459,                 1.2263,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.4261,                 1.1963,                 1.4089,                 0.4928,                0.57948,                0.49673,                0.36723,                 0.9194,                 1.4572,                 1.2255,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.4274,                 1.1959,                 1.4087,                0.49374,                0.57782,                 0.4954,                 0.3661,                0.92012,                  1.461,                 1.2263,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.4295,                 1.1982,                 1.4109,                0.49156,                0.58377,                0.49579,                0.36614,                0.91908,                 1.4566,                 1.2262,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.4272,                 1.1951,                 1.4105,                0.49226,                0.58257,                0.49559,                0.36624,                0.91807,                 1.4575,                 1.2258,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.4283,                 1.1962,                 1.4091,                0.49087,                0.58144,                0.49428,                0.36517,                0.91811,                 1.4575,                 1.2261,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.4265,                  1.197,                 1.4096,                0.49017,                0.58046,                0.49321,                0.36421,                0.91761,                 1.4615,                 1.2256,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.4266,                 1.1963,                 1.4099,                0.49289,                0.57853,                0.49382,                 0.3647,                0.91836,                 1.4615,                 1.2265,               0.009307,               0.009307,               0.009307
                     72,                 1.4261,                  1.194,                 1.4086,                0.49279,                0.58008,                0.49529,                0.36559,                0.91921,                 1.4594,                 1.2264,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.4269,                 1.1953,                 1.4102,                0.49056,                0.58566,                 0.4956,                 0.3662,                0.91941,                 1.4552,                 1.2266,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.4255,                 1.1939,                  1.408,                0.49289,                0.58299,                0.49512,                0.36598,                0.91879,                 1.4567,                 1.2267,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.4248,                 1.1945,                 1.4076,                0.49804,                0.57645,                0.49533,                0.36592,                0.91795,                 1.4579,                 1.2258,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.4265,                 1.1948,                 1.4078,                0.49722,                0.57471,                0.49535,                0.36586,                0.91813,                 1.4572,                 1.2254,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.4276,                 1.1947,                 1.4078,                0.49467,                0.57903,                0.49531,                0.36553,                0.91966,                 1.4598,                 1.2268,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.4237,                 1.1939,                 1.4085,                0.49369,                0.58267,                0.49581,                0.36594,                0.91717,                 1.4594,                 1.2255,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.4243,                 1.1941,                 1.4075,                0.49545,                0.58257,                0.49618,                 0.3666,                0.91804,                 1.4586,                 1.2259,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.4246,                 1.1938,                 1.4066,                0.49591,                0.57903,                0.49692,                0.36696,                0.91738,                 1.4555,                 1.2249,              0.0092179,              0.0092179,              0.0092179
                     81,                  1.424,                 1.1934,                 1.4074,                0.49057,                0.58588,                0.49636,                 0.3666,                0.91629,                 1.4553,                 1.2239,               0.009208,               0.009208,               0.009208
                     82,                 1.4261,                 1.1929,                 1.4068,                0.48976,                 0.5852,                 0.4957,                0.36633,                0.91834,                 1.4562,                 1.2252,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.4253,                 1.1943,                 1.4074,                0.49147,                0.58355,                0.49654,                0.36728,                0.91711,                 1.4531,                 1.2242,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.4247,                 1.1938,                 1.4078,                0.49085,                0.58603,                0.49718,                0.36778,                0.91819,                 1.4506,                 1.2251,              0.0091783,              0.0091783,              0.0091783
